SBA Disaster Loan Data,,,,,,,Report Run Date:  3/19/2019 ,,,,,,
,,,,,,,Report Run Time:   9:52:00AM,,,,,,
Reporting Period:  10/01/2017 - 09/30/2018,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
15340,15341,,SC-00050,BEAUFORT,29902,BEAUFORT,SC,"70,419.00","33,144.00","37,275.00","37,300.00",0.00,"37,300.00"
15340,15341,,SC-00050,BEAUFORT,29906,BEAUFORT,SC,"31,126.00","24,651.00","6,475.00","24,700.00","24,700.00",0.00
15340,15341,,SC-00050,BEAUFORT,29907,BEAUFORT,SC,"5,635.00","5,635.00",0.00,"5,100.00","5,100.00",0.00
15340,15341,,SC-00050,COTTAGEVILLE,29435,COLLETON,SC,"15,147.00","15,147.00",0.00,"14,900.00","14,900.00",0.00
15340,15341,,SC-00050,LADYS ISLAND,29907,BEAUFORT,SC,"69,256.00","69,256.00",0.00,"15,600.00","15,600.00",0.00
15340,15341,,SC-00050,PORT WENTWORTH,31407,CHATHAM,GA,"21,804.00","21,804.00",0.00,"12,400.00","12,400.00",0.00
15340,15341,,SC-00050,SAINT HELENA ISLAND,29920,BEAUFORT,SC,"26,667.00","12,617.00","14,050.00","25,000.00","12,000.00","13,000.00"
15340,15341,,SC-00050,SAVANNAH,31404,CHATHAM,GA,"12,680.00","12,680.00",0.00,0.00,0.00,0.00
15340,15341,,SC-00050,SAVANNAH,31405,CHATHAM,GA,"19,719.00","11,479.00","8,240.00","9,200.00","9,200.00",0.00
15340,15341,,SC-00050,SAVANNAH,31406,CHATHAM,GA,"64,942.00","55,442.00","9,500.00","37,100.00","33,600.00","3,500.00"
15340,15341,,SC-00050,SAVANNAH,31407,CHATHAM,GA,"10,075.00","10,075.00",0.00,"2,800.00","2,800.00",0.00
15340,15341,,SC-00050,SAVANNAH,31410,CHATHAM,GA,"266,358.00","206,883.00","59,475.00","61,600.00","49,000.00","12,600.00"
15340,15341,,SC-00050,SAVANNAH,31415,CHATHAM,GA,"13,987.00","12,587.00","1,400.00","14,000.00","12,600.00","1,400.00"
15340,15341,,SC-00050,SAVANNAH,31419,CHATHAM,GA,"267,649.00","218,389.00","49,260.00","68,600.00","56,700.00","11,900.00"
15340,15341,,SC-00050,TYBEE ISLAND,31328,CHATHAM,GA,"252,181.00","160,861.00","91,320.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,AMERICAN CANYON,94503,NAPA,CA,"692,384.00","544,809.00","147,575.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,ANAHEIM,92807,ORANGE,CA,"680,969.00","555,169.00","125,800.00","240,000.00","200,000.00","40,000.00"
15352,15353,4344,CA-00279,ANAHEIM,92808,ORANGE,CA,"243,491.00","227,691.00","15,800.00","113,100.00","113,100.00",0.00
15352,15353,4344,CA-00279,BANGOR,95914,BUTTE,CA,"1,831,040.00","1,500,920.00","330,120.00","510,900.00","415,900.00","95,000.00"
15352,15353,4344,CA-00279,BROWNS VALLEY,95918,YUBA,CA,"673,596.00","551,046.00","122,550.00","424,100.00","344,100.00","80,000.00"
15352,15353,4344,CA-00279,CALISTOGA,94515,NAPA,CA,"1,177,235.00","944,135.00","233,100.00","22,600.00",0.00,"22,600.00"
15352,15353,4344,CA-00279,CALISTOGA,94515,SONOMA,CA,"7,689,783.00","6,561,157.00","1,128,626.00","1,059,000.00","799,900.00","259,100.00"
15352,15353,4344,CA-00279,CLEARLAKE,95422,LAKE,CA,"3,978,860.00","3,178,925.00","799,935.00","419,600.00","300,200.00","119,400.00"
15352,15353,4344,CA-00279,CLEARLAKE OAKS,95423,LAKE,CA,"23,868.00","1,798.00","22,070.00","23,900.00","1,800.00","22,100.00"
15352,15353,4344,CA-00279,CLEARLAKE PARK,95424,LAKE,CA,"1,221,622.00","1,058,612.00","163,010.00","24,100.00","12,800.00","11,300.00"
15352,15353,4344,CA-00279,COSTA MESA,92626,ORANGE,CA,"297,269.00","258,369.00","38,900.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,COVELO,95428,MENDOCINO,CA,"109,666.00","109,666.00",0.00,0.00,0.00,0.00
15352,15353,4344,CA-00279,ELDRIDGE,95431,SONOMA,CA,"15,650.00",0.00,"15,650.00","15,700.00",0.00,"15,700.00"
15352,15353,4344,CA-00279,GEYSERVILLE,95441,SONOMA,CA,"108,400.00",0.00,"108,400.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,GLEN ELLEN,95442,SONOMA,CA,"19,923,926.00","16,667,920.00","3,256,006.00","3,256,100.00","2,610,100.00","646,000.00"
15352,15353,4344,CA-00279,GRASS VALLEY,95945,NEVADA,CA,"26,100.00",0.00,"26,100.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,GRASS VALLEY,95949,NEVADA,CA,"636,257.00","579,657.00","56,600.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,HEALDSBURG,95448,SONOMA,CA,"1,052,839.00","887,814.00","165,025.00","28,500.00",0.00,"28,500.00"
15352,15353,4344,CA-00279,HIDDEN VALLEY LAKE,95467,LAKE,CA,"355,453.00","307,253.00","48,200.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,IRVINE,92612,ORANGE,CA,1.00,1.00,0.00,0.00,0.00,0.00
15352,15353,4344,CA-00279,KENTFIELD,94904,SONOMA,CA,"204,019.00","107,844.00","96,175.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,KENWOOD,95452,SONOMA,CA,"12,944,535.00","11,041,144.00","1,903,391.00","2,140,900.00","1,778,000.00","362,900.00"
15352,15353,4344,CA-00279,LARKFIELD,95403,SONOMA,CA,"4,780,533.00","3,856,243.00","924,290.00","1,037,700.00","800,000.00","237,700.00"
15352,15353,4344,CA-00279,LOMA RICA,95901,YUBA,CA,"2,759,267.00","2,248,292.00","510,975.00","728,000.00","582,200.00","145,800.00"
15352,15353,4344,CA-00279,MARYSVILLE,95901,BUTTE,CA,"6,980.00",0.00,"6,980.00","7,000.00",0.00,"7,000.00"
15352,15353,4344,CA-00279,MARYSVILLE,95901,YUBA,CA,"7,552,064.00","6,117,474.00","1,434,590.00","2,899,700.00","2,337,200.00","562,500.00"
15352,15353,4344,CA-00279,MIDDLETOWN,95461,LAKE,CA,"5,400.00",0.00,"5,400.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,MILL VALLEY,94941,SONOMA,CA,"761,042.00","684,342.00","76,700.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,NAPA,94558,NAPA,CA,"42,838,747.00","36,360,527.00","6,478,220.00","7,218,000.00","5,754,700.00","1,463,300.00"
15352,15353,4344,CA-00279,NAPA,94559,NAPA,CA,"1,711,016.00","1,427,151.00","283,865.00","22,800.00","12,800.00","10,000.00"
15352,15353,4344,CA-00279,NAPA,94581,NAPA,CA,"60,100.00",0.00,"60,100.00","40,000.00",0.00,"40,000.00"
15352,15353,4344,CA-00279,NEVADA CITY,95959,NEVADA,CA,"133,709.00","50,669.00","83,040.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,NOVATO,94949,SONOMA,CA,"429,525.00","381,725.00","47,800.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,OROVILLE,95965,BUTTE,CA,"60,850.00",0.00,"60,850.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,PARADISE,95969,SONOMA,CA,"44,300.00",0.00,"44,300.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,PETALUMA,94952,SONOMA,CA,"73,600.00",0.00,"73,600.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,POTTER VALLEY,95469,MENDOCINO,CA,"636,233.00","511,233.00","125,000.00","164,700.00","131,500.00","33,200.00"
15352,15353,4344,CA-00279,RACKERBY,95972,YUBA,CA,"1,035.00",0.00,"1,035.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,REDWOOD VALLEY,95470,MENDOCINO,CA,"31,916,095.00","26,236,720.00","5,679,375.00","6,211,000.00","4,856,800.00","1,354,200.00"
15352,15353,4344,CA-00279,REDWOOD VLY,95470,MENDOCINO,CA,"160,690.00","101,090.00","59,600.00","54,100.00",0.00,"54,100.00"
15352,15353,4344,CA-00279,ROHNERT PARK,94928,SONOMA,CA,"434,308.00","312,408.00","121,900.00","112,300.00","105,600.00","6,700.00"
15352,15353,4344,CA-00279,ROUGH AND READY,95975,NEVADA,CA,"1,364,754.00","971,029.00","393,725.00","137,400.00","92,900.00","44,500.00"
15352,15353,4344,CA-00279,SANTA ROSA,94928,SONOMA,CA,"501,660.00","443,260.00","58,400.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,SANTA ROSA,95401,SONOMA,CA,"2,465,633.00","1,948,258.00","517,375.00","675,900.00","621,100.00","54,800.00"
15352,15353,4344,CA-00279,SANTA ROSA,95402,SONOMA,CA,"930,842.00","800,142.00","130,700.00","240,000.00","200,000.00","40,000.00"
15352,15353,4344,CA-00279,SANTA ROSA,95403,ORANGE,CA,"352,841.00","300,241.00","52,600.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,SANTA ROSA,95403,SONOMA,CA,"365,315,227.00","298,305,733.00","67,009,494.00","63,410,200.00","51,961,700.00","11,411,100.00"
15352,15353,4344,CA-00279,SANTA ROSA,95404,SONOMA,CA,"328,430,704.00","280,071,304.00","48,359,400.00","45,298,900.00","38,403,600.00","6,700,500.00"
15352,15353,4344,CA-00279,SANTA ROSA,95405,SONOMA,CA,"1,841,161.00","1,414,616.00","426,545.00","339,900.00","200,000.00","139,900.00"
15352,15353,4344,CA-00279,SANTA ROSA,95406,SONOMA,CA,"30,050.00",0.00,"30,050.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,SANTA ROSA,95407,SONOMA,CA,"957,396.00","711,026.00","246,370.00","232,400.00","200,000.00","32,400.00"
15352,15353,4344,CA-00279,SANTA ROSA,95409,SONOMA,CA,"8,969,517.00","7,150,667.00","1,818,850.00","1,707,600.00","1,337,600.00","370,000.00"
15352,15353,4344,CA-00279,SEBASTOPOL,95472,SONOMA,CA,"478,504.00","370,604.00","107,900.00","31,900.00",0.00,"31,900.00"
15352,15353,4344,CA-00279,SONOMA,95476,NAPA,CA,"11,625.00","11,625.00",0.00,"11,700.00","11,700.00",0.00
15352,15353,4344,CA-00279,SONOMA,95476,SONOMA,CA,"2,805,394.00","2,289,964.00","515,430.00","443,300.00","262,800.00","180,500.00"
15352,15353,4344,CA-00279,UKIAH,95482,MENDOCINO,CA,"12,200.00",0.00,"12,200.00",0.00,0.00,0.00
15352,15353,4344,CA-00279,WILLITS,95490,MENDOCINO,CA,"370,514.00","341,914.00","28,600.00","228,600.00","200,000.00","28,600.00"
15352,15353,4344,CA-00279,WINDSOR,95492,SONOMA,CA,"475,411.00","380,136.00","95,275.00",0.00,0.00,0.00
15378,15379,,SC-00053,SPARTANBURG,29301,SPARTANBURG,SC,"54,901.00","44,871.00","10,030.00","23,500.00","13,500.00","10,000.00"
15378,15379,,SC-00053,SPARTANBURG,29302,SPARTANBURG,SC,"15,395.00","15,395.00",0.00,0.00,0.00,0.00
15380,15381,,IL-00049,ALGONQUIN,60102,MCHENRY,IL,"26,668.00","24,668.00","2,000.00","19,500.00","17,500.00","2,000.00"
15380,15381,,IL-00049,ANTIOCH,60002,LAKE,IL,"145,723.00","139,673.00","6,050.00","57,800.00","53,800.00","4,000.00"
15380,15381,,IL-00049,CHICAGO,60617,COOK,IL,"35,214.00","29,344.00","5,870.00","35,300.00","29,400.00","5,900.00"
15380,15381,,IL-00049,CHICAGO,60620,COOK,IL,"13,469.00","12,119.00","1,350.00",0.00,0.00,0.00
15380,15381,,IL-00049,CHICAGO,60628,COOK,IL,"157,225.00","141,485.00","15,740.00",0.00,0.00,0.00
15380,15381,,IL-00049,CHICAGO,60643,COOK,IL,"45,885.00","42,325.00","3,560.00","46,000.00","42,400.00","3,600.00"
15380,15381,,IL-00049,CHICAGO,60652,COOK,IL,"34,536.00","28,491.00","6,045.00","6,100.00",0.00,"6,100.00"
15380,15381,,IL-00049,FOX LAKE,60020,LAKE,IL,"17,240.00","14,740.00","2,500.00","7,700.00","5,200.00","2,500.00"
15380,15381,,IL-00049,GRAYSLAKE,60030,LAKE,IL,"62,866.00","50,336.00","12,530.00","52,400.00","39,800.00","12,600.00"
15380,15381,,IL-00049,GURNEE,60031,LAKE,IL,"118,565.00","94,040.00","24,525.00","93,600.00","71,600.00","22,000.00"
15380,15381,,IL-00049,INGLESIDE,60041,LAKE,IL,"181,866.00","135,226.00","46,640.00","54,100.00","21,400.00","32,700.00"
15380,15381,,IL-00049,LAKE FOREST,60045,LAKE,IL,"30,570.00","23,470.00","7,100.00","30,600.00","23,500.00","7,100.00"
15380,15381,,IL-00049,LAKE VILLA,60046,LAKE,IL,"141,386.00","141,386.00",0.00,"125,900.00","125,900.00",0.00
15380,15381,,IL-00049,LIBERTYVILLE,60048,LAKE,IL,"36,900.00","30,700.00","6,200.00","36,900.00","30,700.00","6,200.00"
15380,15381,,IL-00049,MUNDELEIN,60060,LAKE,IL,"51,808.00","36,263.00","15,545.00","27,100.00","11,500.00","15,600.00"
15380,15381,,IL-00049,NORTH CHICAGO,60064,LAKE,IL,"105,893.00","72,623.00","33,270.00","73,800.00","46,800.00","27,000.00"
15380,15381,,IL-00049,ROUND LAKE,60073,LAKE,IL,"36,176.00","22,476.00","13,700.00","21,900.00","21,900.00",0.00
15380,15381,,IL-00049,ROUND LAKE BEACH,60073,LAKE,IL,"213,868.00","134,413.00","79,455.00","195,900.00","129,500.00","66,400.00"
15380,15381,,IL-00049,ROUND LAKE HEIGHTS,60073,LAKE,IL,"49,747.00","42,247.00","7,500.00","49,800.00","42,300.00","7,500.00"
15380,15381,,IL-00049,ROUND LAKE PARK,60073,LAKE,IL,"32,226.00","23,001.00","9,225.00",0.00,0.00,0.00
15380,15381,,IL-00049,SALEM,53168,KENOSHA,WI,"118,147.00","91,197.00","26,950.00","46,700.00","19,700.00","27,000.00"
15380,15381,,IL-00049,TREVOR,53179,KENOSHA,WI,"235,068.00","209,828.00","25,240.00",0.00,0.00,0.00
15380,15381,,IL-00049,VILLAGE OF LAKEWOOD,60014,MCHENRY,IL,"29,941.00","24,396.00","5,545.00",0.00,0.00,0.00
15380,15381,,IL-00049,WAUKEGAN,60087,LAKE,IL,"36,707.00","30,132.00","6,575.00",0.00,0.00,0.00
15393,15394,,NC-00096,BOONE,28607,WATAUGA,NC,"89,765.00","35,205.00","54,560.00","35,000.00","23,700.00","11,300.00"
15393,15394,,NC-00096,GRANITE FALLS,28630,CALDWELL,NC,"149,087.00","143,587.00","5,500.00","96,500.00","91,000.00","5,500.00"
15393,15394,,NC-00096,HAYS,28635,WILKES,NC,"29,114.00","29,114.00",0.00,0.00,0.00,0.00
15393,15394,,NC-00096,HICKORY,28601,CALDWELL,NC,"172,834.00","157,834.00","15,000.00","52,500.00","52,500.00",0.00
15393,15394,,NC-00096,MILLERS CREEK,28651,WILKES,NC,"53,063.00","53,063.00",0.00,"50,500.00","50,500.00",0.00
15393,15394,,NC-00096,MORAVIAN FALLS,28654,WILKES,NC,"12,584.00","12,024.00",560.00,"7,800.00","7,200.00",600.00
15393,15394,,NC-00096,NORTH WILKESBORO,28659,WILKES,NC,"287,065.00","250,480.00","36,585.00","160,500.00","139,100.00","21,400.00"
15393,15394,,NC-00096,WEST JEFFERSON,28694,ASHE,NC,"15,120.00","15,120.00",0.00,"15,200.00","15,200.00",0.00
15393,15394,,NC-00096,WILKESBORO,28697,WILKES,NC,"481,862.00","442,227.00","39,635.00","34,700.00","22,000.00","12,700.00"
15393,15394,,NC-00096,ZIONVILLE,28698,WATAUGA,NC,"14,391.00","14,391.00",0.00,"9,300.00","9,300.00",0.00
15416,15417,,CT-00041,NORWALK,6854,FAIRFIELD,CT,"241,630.00","132,290.00","109,340.00","221,700.00","132,400.00","89,300.00"
15418,15419,,LA-00079,CALL,75933,NEWTON,TX,"56,239.00","56,239.00",0.00,0.00,0.00,0.00
15418,15419,,LA-00079,DEQUINCY,70633,BEAUREGARD,LA,"87,680.00","85,880.00","1,800.00","87,700.00","85,900.00","1,800.00"
15418,15419,,LA-00079,IOWA,70647,CALCASIEU,LA,"130,958.00","103,728.00","27,230.00","91,100.00","63,800.00","27,300.00"
15418,15419,,LA-00079,IOWA,70647,JEFFERSON DAVIS,LA,"181,592.00","131,970.00","49,622.00","172,100.00","132,100.00","40,000.00"
15418,15419,,LA-00079,JENNINGS,70546,JEFFERSON DAVIS,LA,"24,652.00","24,652.00",0.00,0.00,0.00,0.00
15418,15419,,LA-00079,LAKE CHARLES,70601,CALCASIEU,LA,"571,379.00","450,313.00","121,066.00","303,600.00","279,700.00","23,900.00"
15418,15419,,LA-00079,LAKE CHARLES,70605,CALCASIEU,LA,"9,180.00","8,930.00",250.00,"9,200.00","9,000.00",200.00
15418,15419,,LA-00079,LAKE CHARLES,70607,CALCASIEU,LA,"74,288.00","59,773.00","14,515.00","56,800.00","42,100.00","14,700.00"
15418,15419,,LA-00079,LAKE CHARLES,70615,CALCASIEU,LA,"1,731,961.00","1,211,506.00","520,455.00","871,500.00","612,500.00","259,000.00"
15418,15419,,LA-00079,ORANGE,77630,ORANGE,TX,"633,197.00","465,315.00","167,882.00","78,200.00","42,900.00","35,300.00"
15418,15419,,LA-00079,ORANGE,77632,ORANGE,TX,"654,228.00","329,492.00","324,736.00","296,400.00","154,800.00","141,600.00"
15418,15419,,LA-00079,SULPHUR,70665,CALCASIEU,LA,"68,196.00","68,196.00",0.00,0.00,0.00,0.00
15418,15419,,LA-00079,VIDOR,77662,ORANGE,TX,"858,912.00","509,647.00","349,265.00","113,800.00","48,600.00","65,200.00"
15418,15419,,LA-00079,WESTLAKE,70669,CALCASIEU,LA,"69,047.00","57,097.00","11,950.00",0.00,0.00,0.00
15423,15424,,NY-00180,COHOES,12047,ALBANY,NY,"16,750.00",0.00,"16,750.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,AGOURA HILLS,91301,LOS ANGELES,CA,"10,530.00",0.00,"10,530.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,ARLETA,91331,LOS ANGELES,CA,"7,137.00","7,137.00",0.00,0.00,0.00,0.00
15438,15439,4353,CA-00282,BONSALL,92003,SAN DIEGO,CA,"6,762,146.00","5,825,591.00","936,555.00","1,201,000.00","902,500.00","298,500.00"
15438,15439,4353,CA-00282,BURBANK,91506,LOS ANGELES,CA,"159,141.00","122,091.00","37,050.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,CAMARILLO,93010,VENTURA,CA,"98,696.00","81,696.00","17,000.00",0.00,0.00,0.00
